Date_of_visit,P.E.I.,N.S.,Que.,Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,Total
2020-04-06,35,476,5177,8511,524,498,3226,2455,52,20954
2020-04-07,36,406,5099,8223,494,442,3123,2336,56,20215
2020-04-08,36,422,4959,8367,475,445,3139,2403,60,20306
2020-04-09,37,430,4953,8412,477,497,3306,2527,67,20706
2020-04-10,22,413,4999,7951,505,524,3236,2520,54,20224
2020-04-11,52,448,4872,8140,522,514,3220,2486,63,20317
2020-04-12,35,404,4811,7846,523,494,3070,2424,52,19659
2020-04-13,36,450,5469,8760,492,505,3479,2503,62,21756
2020-04-14,38,451,5939,8650,540,513,3409,2556,65,22161
2020-04-15,42,452,5623,8490,523,548,3239,2461,53,21431
2020-04-16,40,477,5354,8412,530,559,3476,2732,68,21648
2020-04-17,42,476,5655,8894,572,585,3526,2748,50,22548
2020-04-18,42,459,5314,8540,526,537,3362,2697,61,21538
2020-04-19,47,420,5030,7964,549,571,3482,2547,39,20649
2020-04-20,37,478,6081,9828,631,619,3913,2925,61,24573
2020-04-21,49,478,5665,9115,554,623,3713,2904,59,23160
2020-04-22,46,455,5586,9248,602,589,3688,2877,75,23166
2020-04-23,42,512,5624,9515,619,608,3606,2954,75,23555
2020-04-24,50,464,5899,10012,616,604,3802,3123,60,24630
2020-04-25,46,480,5496,9394,587,613,3725,2984,52,23377
2020-04-26,45,495,5496,8941,597,624,3611,2933,60,22802
2020-04-27,47,521,6483,10937,642,712,4005,3258,69,26674
2020-04-28,39,487,6364,10393,622,661,3785,3139,80,25570
2020-04-29,53,530,6143,10076,577,624,3929,3214,71,25217
2020-04-30,49,529,6027,10601,705,673,3948,3198,65,25795
2020-05-01,56,565,6282,11006,697,652,3896,3343,78,26575
2020-05-02,37,582,5737,10157,625,669,4141,3123,65,25136
2020-05-03,51,541,5686,10234,665,657,3871,3075,62,24842
2020-05-04,51,628,6805,11915,714,722,4171,3361,85,28452
2020-05-05,52,611,6329,11143,699,670,4062,3361,78,27005
2020-05-06,40,606,6430,11000,658,619,3973,3289,91,26706
2020-05-07,48,609,6255,11007,652,574,3968,3376,69,26558
2020-05-08,37,627,6317,10878,722,634,4125,3394,85,26819
2020-05-09,33,565,5735,9845,648,619,3952,3332,91,24820
2020-05-10,40,542,5473,9214,622,555,3681,3253,78,23458
2020-05-11,55,683,6854,11830,672,639,4207,3859,88,28887
2020-05-12,49,630,6351,11130,621,652,4238,3613,62,27346
2020-05-13,58,623,6559,11257,657,607,4148,3429,76,27414
2020-05-14,48,616,6579,11305,625,629,4265,3550,81,27698
2020-05-15,58,617,6614,11617,690,697,4348,3587,94,28322
2020-05-16,48,591,6208,11009,670,706,4444,3305,83,27064
2020-05-17,52,655,6223,11338,730,694,4731,3457,68,27948
2020-05-18,64,692,6941,11224,765,792,4691,3553,100,28822
2020-05-19,55,710,7252,13107,817,762,4878,3802,93,31476
2020-05-20,57,660,6966,12226,756,673,4382,3592,98,29410
2020-05-21,56,710,6978,12384,752,703,4224,3404,92,29303
2020-05-22,59,706,7180,12914,748,772,4409,3627,77,30492
2020-05-23,56,653,6488,12032,753,723,4478,3425,88,28696
2020-05-24,39,620,6587,12253,712,720,4452,3403,75,28861
2020-05-25,55,751,7943,14885,815,819,4847,3741,81,33937
2020-05-26,54,689,7220,13673,807,731,4634,3628,91,31527
2020-05-27,52,690,7265,13361,799,734,4561,3679,77,31218
